Comment,Designator,Footprint,LCSC
ADP7118,U6,TSOT-23-5,C141943
10nF,C19,C_0402_1005Metric,C15195
"100 nF, >10V, X6S","C10,C11,C12,C13,C15,C18,C4,C5,C6,C7,C8,C9",C_0402_1005Metric,C1525
12 pF,"C1,C2",C_0402_1005Metric,C1547
SM04B-SRSS-TB(LF)(SN),"J3,J4",JST_SM04B-SRSS-TB_LF__SN_,C160404
330 nF,C16,C_0603_1608Metric,C1615
RP2040,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
KT-0603W,D1,LED_0603_1608Metric,C2290
100R,"R27,R28",R_0402_1005Metric,C25076
120R,R2,R_0402_1005Metric,C25079
47R,"R20,R21,R22,R23,R24,R25,R26",R_0402_1005Metric,C25118
27R,"R5,R6",R_0603_1608Metric,C25190
10K,"R10,R19,R7,R8,R9",R_0402_1005Metric,C25744
47K,R4,R_0402_1005Metric,C25792
4K7,"R1,R3",R_0402_1005Metric,C25900
ADS124S08IPBSR,U5,LQFP-32_5x5mm_P0.5mm,C2870171
4.7 µH,L1,L_Sunlord_MWSA0402S,C408337
10µF,"C20,C34,C36,C39",C_0805_2012Metric,C440198
AP3012,U3,SOT-23-5,C460356
XYDBPCNANF-12MHZ,Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,C521567
"1 uF, >10V, X5R","C14,C17,C3,C33,C35,C38",C_0402_1005Metric,C52923
USB_B_Micro,J1,USB_Micro-B_Molex-105133-0001,C586226
74HCT4066PW,U2,SO-14_3.9x8.65mm_P1.27mm,C5998
AMS1117-3.3,U4,SOT-223-3_TabPin2,C6186
51 nF,"C23,C26,C29,C32",C_1206_3216Metric,C711044
W25Q128JVS,U12,SOIC-8_5.23x5.23mm_P1.27mm,C97521
